ward_name,feeder_id,asset_type,asset_age_years,infrastructure_quality,reliability_rating,datetime_start,duration_minutes,consumers_affected,cause,area_type,estimated_revenue_loss,crew_requirement,restoration_complexity
Basavanagudi,FD-BAS-01,Overhead,39,Legacy,0.975,2025-09-06 18:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Vasanth Nagar,FD-VAS-03,Overhead,29,Legacy,0.975,2025-09-06 18:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Rajaji Nagar,FD-RAJ-05,Overhead,27,Legacy,0.975,2025-09-06 18:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Shivaji Nagar,FD-SHI-02,Overhead Heavy,22,Industrial,0.982,2025-09-06 18:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Okalipuram,FD-OKA-01,Overhead Heavy,30,Industrial,0.982,2025-09-06 18:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Hegganahalli,FD-HEG-05,Overhead Heavy,28,Industrial,0.982,2025-09-06 18:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Kamakshipalya,FD-KAM-02,Overhead Heavy,28,Industrial,0.982,2025-09-06 18:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Shettihalli,FD-SHE-03,Overhead Heavy,20,Industrial,0.982,2025-09-06 18:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Yelahanka Satellite Town,FD-YEL-05,Mixed New,14,Developing,0.99,2025-09-06 18:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Kengeri,FD-KEN-01,Mixed New,15,Developing,0.99,2025-09-06 18:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Herohalli,FD-HER-05,Mixed New,10,Developing,0.99,2025-09-06 18:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Thanisandra,FD-THA-03,Mixed New,15,Developing,0.99,2025-09-06 18:00:00,96,5764,Tree Contact,emerging_areas,27667.2,Line Crew + Forestry Team,Medium
Byatarayanapura,FD-BYA-01,Mixed New,11,Developing,0.99,2025-09-06 18:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Kadugodi,FD-KAD-03,Underground,12,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Hudi,FD-HUD-03,Underground,5,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Kudlu,FD-KUD-02,Underground,9,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Bommanahalli,FD-BOM-01,Underground,11,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Singasandra,FD-SIN-05,Underground,15,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Whitefield,FD-WHI-01,Underground,14,Modern,0.995,2025-09-06 21:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Koramangala,FD-KOR-01,Mixed,10,Good,0.988,2025-09-06 21:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
J P Nagar,FD-JPN-05,Mixed,20,Good,0.988,2025-09-06 21:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
BTM Layout,FD-BTM-04,Mixed,11,Good,0.988,2025-09-06 21:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Domlur,FD-DOM-02,Mixed,12,Good,0.988,2025-09-06 21:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Hoysala Nagar,FD-HOY-04,Mixed,20,Good,0.988,2025-09-06 21:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Malleswaram,FD-MAL-01,Overhead,27,Legacy,0.975,2025-09-06 21:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Mattikere,FD-MAT-05,Overhead,29,Legacy,0.975,2025-09-06 21:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Basavanagudi,FD-BAS-05,Overhead,39,Legacy,0.975,2025-09-06 21:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Vasanth Nagar,FD-VAS-05,Overhead,27,Legacy,0.975,2025-09-06 21:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Rajaji Nagar,FD-RAJ-02,Overhead,21,Legacy,0.975,2025-09-06 21:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Shivaji Nagar,FD-SHI-01,Overhead Heavy,30,Industrial,0.982,2025-09-06 21:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Okalipuram,FD-OKA-01,Overhead Heavy,18,Industrial,0.982,2025-09-06 21:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Hegganahalli,FD-HEG-02,Overhead Heavy,20,Industrial,0.982,2025-09-06 21:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Kamakshipalya,FD-KAM-02,Overhead Heavy,23,Industrial,0.982,2025-09-06 21:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Shettihalli,FD-SHE-04,Overhead Heavy,30,Industrial,0.982,2025-09-06 21:00:00,0,0,No Outage,industrial_commercial,0.0,Standard Line Crew + Heavy Equipment,Medium
Yelahanka Satellite Town,FD-YEL-01,Mixed New,12,Developing,0.99,2025-09-06 21:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Kengeri,FD-KEN-03,Mixed New,13,Developing,0.99,2025-09-06 21:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Herohalli,FD-HER-02,Mixed New,16,Developing,0.99,2025-09-06 21:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Thanisandra,FD-THA-01,Mixed New,8,Developing,0.99,2025-09-06 21:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
Byatarayanapura,FD-BYA-01,Mixed New,12,Developing,0.99,2025-09-06 21:00:00,0,0,No Outage,emerging_areas,0.0,Standard Line Crew,Medium
